feature,importance_mean,importance_std
type,0.3070411814081852,0.0013773478829019218
state,0.16602209157836703,0.0036439458850063724
baths,0.16265047593965523,0.0022415196366779738
sqft,0.13849195642991388,0.010057866494585009
text_length,0.12612563444659328,0.005259084932092874
digit_count,0.047827120587627024,0.005848262566628495
year_built,0.040341899230299814,0.0010244057096772366
unique_word_count,0.03238869138465117,0.0026905354974319146
has_new_construction,0.025902578130572246,0.004007408298418043
word_count,0.020501317015480525,0.0012115825441397347
has_hoa,0.016413801320044812,0.0012184425126135995
has_acreage,0.01420680471621405,0.0014707460286864308
baths_full_calc,0.013355846612625047,0.0012900540069905042
sentence_count,0.01143191078510053,0.000907378377320976
sub_type,0.010847358194374065,0.0003056118016513832
has_views,0.009534254036971132,0.00037356156758450566
amenity_hit_count,0.009253046750986335,0.001525798277001742
stories,0.00903425918561566,0.00023824004870078133
quality_score,0.005236900662147104,0.00016676668098964287
has_pool,0.005084323595760461,0.0009486012656131988
has_fixer_upper_angle,0.0036973377960278775,0.0006807678944323984
beds,0.0028612391442036276,2.412142922526537e-05
has_lake_access,0.002604489297478992,6.12485859612401e-05
has_investor_angle,0.0022964849604427684,0.0010197132321254163
has_hardwood,0.0017297530792999745,0.0008308483392163984
has_duplicate_text_within_state,0.001536359053202337,0.00018238253114269916
garage,0.0012964011600080279,0.00011260053555698967
has_finished_basement,0.0012955363115326006,0.00027416624084693425
has_fireplace,0.0012248137832283623,0.0005032926726845289
has_garage,0.0007996056432837406,0.00033044103330039944
baths_full,0.000781780700482256,0.0005408565039988529
has_quartz,0.0007223526110004727,3.3393802370662726e-05
has_primary_suite,0.0004533847880402453,0.00013186682083232213
has_granite,0.00030799758408665373,5.33974521105266e-05
has_open_floor_plan,0.0002592712429044057,0.0002013640447058071
has_patio,0.0002458382596148094,8.59196526220765e-05
has_fenced_yard,0.0002042824801294918,7.458188630848908e-05
has_stainless_steel,0.00010751385348735838,4.996517279753761e-05
has_walk_in_closet,6.569755924734633e-05,7.388928308438891e-05
has_deck,6.180298657391485e-05,0.00011823269481440136
is_placeholder_text,1.53113018231954e-05,0.0
is_quality_filtered_text,6.092418347332836e-06,8.399462965386868e-07
has_updated_kitchen,-2.0267459455121834e-05,4.016394681393906e-05
quality_label,-0.0001333909580261509,0.00016350037303957296
is_blank_text,-0.00018603300303199344,2.2817106041062065e-06
